time(UTC),poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,cell_temp
2021-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.85
2021-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.78
2021-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.71
2021-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.64
2021-01-01 04:00:00+00:00,20.89470958122162,0.0,20.89470958122162,20.526279441628827,0.3684301395927936,17.22779354161846
2021-01-01 05:00:00+00:00,173.21893703595475,22.872235844768678,150.34670119118607,147.41600689897066,2.9306942922154033,21.9560963310477
2021-01-01 06:00:00+00:00,241.94057650259782,12.864315565782759,229.07626093681506,224.85606115602488,4.220199780790181,24.05480566036064
2021-01-01 07:00:00+00:00,387.75909211824643,45.15904280174242,342.600049316504,335.88457268119896,6.71547663530501,28.596875171679113
2021-01-01 08:00:00+00:00,485.8123052376242,69.67884859819785,416.13345663942636,407.72655072689986,8.40690591252647,33.04619832571877
2021-01-01 09:00:00+00:00,671.5130192614783,210.41305627110586,461.0999629903725,449.71212231204976,11.38784067832271,39.13456053951178
2021-01-01 10:00:00+00:00,817.240785860217,415.62630812886283,401.61447773135416,388.1332839871633,13.481193744190856,44.453071681625715
2021-01-01 11:00:00+00:00,545.9633217146263,117.71263730351134,428.25068441111495,418.9227031496065,9.327981261508455,38.22289286034236
2021-01-01 12:00:00+00:00,618.1424592683984,282.5064252409005,335.63603402749783,325.6214329603846,10.014601067113206,39.778141478008365
2021-01-01 13:00:00+00:00,406.8872182792701,137.17938748204787,269.70783079722224,263.10958193360585,6.598248863616393,33.31329333786436
2021-01-01 14:00:00+00:00,155.18475932125625,14.452881165950435,140.73187815530582,138.08587988004848,2.6459982752573357,25.137078954336403
2021-01-01 15:00:00+00:00,30.392304845413268,0.0,30.392304845413268,29.85640646055102,0.5358983848622452,19.912106424396118
2021-01-01 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,18.04
2021-01-01 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,17.49
2021-01-01 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.95
2021-01-01 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.59
2021-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,16.26
